id,title,industry,features
574475,Final Destination Bloodlines,hollywood,"
                horror mystery kaitlyn santa juana teo briones rya kihlstedt richard harmon owen patrick joyner restaurant gore sequel premonition fate family death psychotic taunting hard near-death experience paranoid hostile hopeless insecure 1960s satirical ironic cheating death malicious suspicious supernatural horror vindictive negative horror tense hilarious callous cruel disheartening frightened ghoulish horrified inflammatory mean spirited mocking ominous pessimistic sarcastic sardonic
                hollywood us en
                "
569094,Spider-Man: Across the Spider-Verse,hollywood,"
                animation action adventure science fiction shameik moore hailee steinfeld brian tyree henry luna lauren vélez jake johnson new york city hero sacrifice superhero villain portal based on comic sequel romance alter ego alternate dimension parenting family alternate version super power brooklyn, new york city superhero team spider bite super villain cliffhanger teenage romance young heroes teen superhero teen social issues chelsea alternate universe superhero teamup female superhero slow burn romance interdimensional travel
                hollywood us en
                "
755679,Fast X: Part 2,hollywood,"
                action crime thriller vin diesel jason statham michelle rodriguez tyrese gibson ludacris sequel racing family cars
                hollywood us en
                "
1511789,Captain Hook: The Cursed Tides,hollywood,"
                adventure action horror sean cronin ewen weatherburn cameron ashplant richard rowden destiny viva island english channel channel islands hook guernsey
                hollywood us en
                "
986056,Thunderbolts*,hollywood,"
                action science fiction adventure florence pugh sebastian stan julia louis-dreyfus lewis pullman david harbour new york city superhero villain based on comic mental health aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) congressman vexed father daughter relationship impeachment survivor's guilt antihero ragtag band of misfits wry
                hollywood us en
                "
1167307,David,hollywood,"
                animation family drama phil wickham brandon engman asim chaudhry mick wingert mark whitten bible musical prophet david vs. goliath independent film israeli history bible prophecy biblical epic
                hollywood us en
                "
17979,A Christmas Carol,hollywood,"
                animation family fantasy drama jim carrey gary oldman colin firth robin wright cary elwes london, england based on novel or book holiday greed victorian england money ghost lesson christmas music moneylender christmas 19th century scrooge christmas eve xmas eve
                hollywood us en
                "
546554,Knives Out,hollywood,"
                comedy crime mystery daniel craig chris evans ana de armas jamie lee curtis michael shannon immigrant detective massachusetts investigation big family mansion whodunit family home murder mystery neo-noir privilege
                hollywood us en
                "
1175942,The Bad Guys 2,hollywood,"
                family comedy crime adventure animation sam rockwell marc maron awkwafina craig robinson anthony ramos based on novel or book snake wolf spider villain sequel heist anthropomorphism framed for a crime joyful
                hollywood us en
                "
1242419,Roofman,hollywood,"
                crime comedy drama channing tatum kirsten dunst ben mendelsohn lakeith stanfield juno temple based on true story true crime toy store escaped prisoner charlotte, north carolina
                hollywood us en
                "
385687,Fast X,hollywood,"
                action crime thriller vin diesel michelle rodriguez tyrese gibson ludacris john cena sequel revenge betrayal racing family cliffhanger cars bold ominous
                hollywood us en
                "
